business_status,formatted_address,icon,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,photos,permanently_closed
OPERATIONAL,"Prudencio Maria Verastegui Kalea, 1, 01002 Gasteiz, Araba",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Estación de carga,ChIJISEpWmbCTw0RQkTqQLSSugQ,0.0,ChIJISEpWmbCTw0RQkTqQLSSugQ,"['point_of_interest', 'establishment']",0,42.84913479999999,-2.6664082,42.85048147989272,-2.665057970107277,42.84778182010727,-2.667757629892722,True,R8XM+MC Vitoria-Gasteiz,8CJVR8XM+MC,,
OPERATIONAL,"48903 Baracaldo, Vizcaya",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Estación de carga,ChIJjWAoM59QTg0RMRxeKTEbNI8,0.0,ChIJjWAoM59QTg0RMRxeKTEbNI8,"['point_of_interest', 'establishment']",0,43.2855362,-2.9957148,43.28694777989272,-2.994481370107278,43.28424812010728,-2.997181029892723,True,72P3+6P Baracaldo,8CMV72P3+6P,"[{'height': 1420, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112791032995822959496"">A Google User</a>'], 'photo_reference': 'ATtYBwLdBS2LPHk-7KnaEMhFfy8EU8We1powbpP6kQyV8bjKqCuMO7wliYWXTrM920G6_TnYaSWKUq9nD88msnRKS042YnUo7nn5quMVhcS2dUH-wSpC_X2qK_zklKYqyuzhczfY3jG5uvjP7BVXOnRe87mhJQV-K8tZTfWTXu8dpUO1Dawv', 'width': 2200}]",
OPERATIONAL,"Zankoeta Kalea, 3A, 48013 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga vehículos,ChIJY15MxDxRTg0RJPqfRgu9EZg,0.0,ChIJY15MxDxRTg0RJPqfRgu9EZg,"['point_of_interest', 'establishment']",0,43.2587222,-2.9477397,43.25994707989273,-2.946423270107278,43.25724742010728,-2.949122929892722,,7352+FW Bilbao,8CMV7352+FW,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101901546236960159306"">ruben fernandez</a>'], 'photo_reference': 'ATtYBwLSlTjGKbOAtSwf-RiAB5Jyq0Xl2c9YjLpkngWQgnuqZimxo8X70t6SlDZrC15JFKW8MfQ6hDDHLU8_-8tjvZ3MdLQT2n0w52ikKY79ACnDHSqpnm8klkcnrHpOqudLToKzsEiJ1PHBPzhBnSaKIQvKJMfSZE51WsdDlRkpg3hmTp_Y', 'width': 2268}]",
OPERATIONAL,"Erribera Etorbidea, 48902 Barakaldo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Gestor de Carga de VE S.A. Charging Station,ChIJuY6AjQhaTg0R7SJkCo-bX6w,5.0,ChIJuY6AjQhaTg0R7SJkCo-bX6w,"['point_of_interest', 'establishment']",1,43.2930909,-3.006481,43.29442462989272,-3.004873870107278,43.29172497010727,-3.007573529892722,,7XVV+6C Baracaldo,8CMR7XVV+6C,,
OPERATIONAL,"09200 Miranda de Ebro, Burgos",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EasyCharger Estación de carga,ChIJ2Qnv2V2bTw0Ravs3m1BNf6c,0.0,ChIJ2Qnv2V2bTw0Ravs3m1BNf6c,"['point_of_interest', 'establishment']",0,42.6885487,-2.9533968,42.68986852989272,-2.952019570107277,42.68716887010728,-2.954719229892722,True,M2QW+CJ Miranda de Ebro,8CJVM2QW+CJ,,
OPERATIONAL,"20212 Olaberría, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJcyZ1qSI3UA0RqL5ogP939nQ,0.0,ChIJcyZ1qSI3UA0RqL5ogP939nQ,"['point_of_interest', 'establishment']",0,43.0278537,-2.2041555,43.02919672989272,-2.202770670107277,43.02649707010728,-2.205470329892722,,2QHW+48 Olaberría,8CMV2QHW+48,,
OPERATIONAL,"Urartea Kalea, 23, 01010 Gasteiz, Araba",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJn_6FxZvBTw0RnRQ8BPX3S9s,0.0,ChIJn_6FxZvBTw0RnRQ8BPX3S9s,"['point_of_interest', 'establishment']",0,42.8640563,-2.7124726,42.86538567989273,-2.711173020107278,42.86268602010728,-2.713872679892722,True,V77Q+J2 Vitoria-Gasteiz,8CJVV77Q+J2,"[{'height': 1018, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102456824608065103317"">María Fernando</a>'], 'photo_reference': 'ATtYBwIjXoTLIDAepp72qu9H0eG0UzHcd2MvAWsub7gSpvtG3AlxDcuCe-BCs3LtqlTxf7xO4Ifb-Pza23WWMpBJPgRjs6OhJ2CebuwFaL6sEKNOUGN5mh0a2EPbalz1yyxLW3tdgSbCXmQ6yooslCAmtKZfjSq2fflKCKzkjWCfFI_a7F21', 'width': 2934}]",
OPERATIONAL,"Begoñako Andra Maria Kalea, 45, 48006 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJJcYCm7ZPTg0RLHZHTBrfqlI,0.0,ChIJJcYCm7ZPTg0RLHZHTBrfqlI,"['point_of_interest', 'establishment']",0,43.259088,-2.9143276,43.26043047989272,-2.912939370107278,43.25773082010728,-2.915639029892723,True,735P+J7 Bilbao,8CMV735P+J7,,
OPERATIONAL,"Barrena Kalea, 19, 20600 Eibar, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJSWDgyYPVUQ0RoVh_z8LTne0,0.0,ChIJSWDgyYPVUQ0RoVh_z8LTne0,"['point_of_interest', 'establishment']",0,43.19000399999999,-2.454243,43.19134892989272,-2.452936420107278,43.18864927010728,-2.455636079892722,True,5GRW+28 Éibar,8CMV5GRW+28,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109185068800590779382"">Javi Mendez</a>'], 'photo_reference': 'ATtYBwJUUeug_N7KmJGDJwo0iW941WrvHx-31mWxcJBe14LhL_3CpMMrLhtCN_t3laSSKxnRorP_ZnCbptZfG_2QFEhErjQmNd3tnhXB1I3cmvU3gHAKWrrNqx_pncS2rf701Ypp5MhFt_7mY7Tv3BHyjaGvai358_o0VhLpr06EnVv2GYFM', 'width': 554}]",
OPERATIONAL,"Elcano Kalea, 9, 48008 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJN8EKcNdPTg0RvyG-elhxP4c,0.0,ChIJN8EKcNdPTg0RvyG-elhxP4c,"['point_of_interest', 'establishment']",0,43.26235399999999,-2.934526,43.26369822989273,-2.933193270107278,43.26099857010728,-2.935892929892722,True,7368+W5 Bilbao,8CMV7368+W5,,
OPERATIONAL,"Ventorro Kalea, 3, 01207, Araba",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ENDESA Charging Station,ChIJkTZU5cEiUA0RIVtTIc_896E,0.0,ChIJkTZU5cEiUA0RIVtTIc_896E,"['point_of_interest', 'establishment']",0,42.8640649,-2.321557,42.86552922989271,-2.320238020107277,42.86282957010727,-2.322937679892722,True,VM7H+J9 San Román de San Millán,8CJVVM7H+J9,,
OPERATIONAL,"20004 San Sebastián, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJXSTqOlKlUQ0RIwgTLC5sXSY,0.0,ChIJXSTqOlKlUQ0RIwgTLC5sXSY,"['point_of_interest', 'establishment']",0,43.3202505,-1.9839599,43.32158632989272,-1.982648770107277,43.31888667010728,-1.985348429892722,,82C8+4C San Sebastián,8CMW82C8+4C,,
OPERATIONAL,"20001 San Sebastián, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJew80EEOlUQ0RRCpImTMYXeA,0.0,ChIJew80EEOlUQ0RRCpImTMYXeA,"['point_of_interest', 'establishment']",0,43.3239353,-1.9717761,43.32529627989272,-1.970405520107277,43.32259662010728,-1.973105179892722,,82FH+H7 San Sebastián,8CMW82FH+H7,,
OPERATIONAL,"Marqués de Arriluce e Ibarra Kalea, 3006, 48992 Getxo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Estación de carga,ChIJN23KSN9bTg0R3Fi_fslsDh8,0.0,ChIJN23KSN9bTg0R3Fi_fslsDh8,"['point_of_interest', 'establishment']",0,43.3403161,-3.0162236,43.34168627989272,-3.014850770107278,43.33898662010728,-3.017550429892722,True,8XRM+4G Guecho,8CMR8XRM+4G,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101901546236960159306"">ruben fernandez</a>'], 'photo_reference': 'ATtYBwIVbJB7fj4Nvxl3AaY-GlfXIVg03z-yfFOEywMCKWAsS1mzFHnalNMurc_lJIRMOfhfLMQlJfJqcDm87Hqowy7fSLcRN2NKAoTIQeAoBgy8C6vOYAJcdDLSjgsdscrUDtQMDGQcA258c03P4ZZpsBIz6tiUt9VoXByStohE1Iu5fzzx', 'width': 4032}]",
OPERATIONAL,"Tartanga Kalea, 28, 48950 Altzaga, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación Carga Vehículos Eléctricos,ChIJg-_qtmNbTg0RWDPJ1vXSKhg,0.0,ChIJg-_qtmNbTg0RWDPJ1vXSKhg,"['point_of_interest', 'establishment']",0,43.306994,-2.9736385,43.30835202989272,-2.972343170107278,43.30565237010727,-2.975042829892723,True,824G+QG Altzaga,8CMV824G+QG,,
OPERATIONAL,"Begiristain Doktorea Pasealekua, 75, 20014 Donostia, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJgZ0nipSvUQ0RYtmj3V88usY,0.0,ChIJgZ0nipSvUQ0RYtmj3V88usY,"['point_of_interest', 'establishment']",0,43.297227,-1.966242,43.29865532989272,-1.965115770107277,43.29595567010728,-1.967815429892722,True,72WM+VG San Sebastián,8CMW72WM+VG,,
OPERATIONAL,"Portal de Elorriaga Kalea, 17, 01003 Gasteiz, Araba",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJf8djjo3CTw0Rdle8IDG7Vxc,5.0,ChIJf8djjo3CTw0Rdle8IDG7Vxc,"['point_of_interest', 'establishment']",1,42.8494606,-2.6485874,42.85080242989272,-2.647184920107278,42.84810277010727,-2.649884579892722,True,R9X2+QH Vitoria-Gasteiz,8CJVR9X2+QH,,
OPERATIONAL,"Arraiz Bidea, 116, 48002 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Wenea Estación de carga,ChIJc_PKfQNRTg0RdujcywX146Q,0.0,ChIJc_PKfQNRTg0RdujcywX146Q,"['point_of_interest', 'establishment']",0,43.2415141,-2.9604141,43.24287872989272,-2.959030620107278,43.24017907010727,-2.961730279892723,,62RQ+JR Bilbao,8CMV62RQ+JR,,
OPERATIONAL,"Minasoroeta Kalea, 4, 20280 Hondarribia, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJi58ANKgJUQ0Ru1Od7sTNgNM,0.0,ChIJi58ANKgJUQ0Ru1Od7sTNgNM,"['point_of_interest', 'establishment']",0,43.361584,-1.793754,43.36290362989272,-1.792418020107278,43.36020397010728,-1.795117679892722,True,9664+JF Hondarribia,8CMW9664+JF,,
OPERATIONAL,"Lugar Arranomendia, 922, 20240, SS",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Charge and Parking Estación de carga,ChIJvSnED_g2UA0Rw8UhkOaI398,0.0,ChIJvSnED_g2UA0Rw8UhkOaI398,"['point_of_interest', 'establishment']",0,43.0465532,-2.1848857,43.04783687989272,-2.183509770107278,43.04513722010728,-2.186209429892723,,2RW8+J2 Lazcano,8CMV2RW8+J2,,
CLOSED_TEMPORARILY,"Av. la Constitución, 2A, 39700 Castro Urdiales, Cantabria",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Endesa Estación de carga,ChIJ_4Q1N7XzTg0R8JG05wWhsxI,1.0,ChIJ_4Q1N7XzTg0R8JG05wWhsxI,"['point_of_interest', 'establishment']",1,43.3823099,-3.2176,43.38379462989272,-3.216454020107278,43.38109497010727,-3.219153679892723,,9QJJ+WX Castro Urdiales,8CMR9QJJ+WX,,True
OPERATIONAL,"Gipuzkoa Etorb., 11 Musakola Auzoa Auzoa, 20500 Arrasate, Gipuzkoa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJrQX8XuLVTw0R2DmunVBW1v4,0.0,ChIJrQX8XuLVTw0R2DmunVBW1v4,"['point_of_interest', 'establishment']",0,43.071915,-2.472951,43.07324352989272,-2.471573570107278,43.07054387010728,-2.474273229892722,True,3GCG+QR Mondragón,8CMV3GCG+QR,,
OPERATIONAL,"Leizaola Lehendakariaren Kalea, 5, 48011 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación Carga Vehículos,ChIJJ7Q-46ZRTg0RAZlGHH5X-WI,5.0,ChIJJ7Q-46ZRTg0RAZlGHH5X-WI,"['point_of_interest', 'establishment']",1,43.2671375,-2.9395814,43.26851097989272,-2.938222170107277,43.26581132010728,-2.940921829892722,,7386+V5 Bilbao,8CMV7386+V5,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101901546236960159306"">ruben fernandez</a>'], 'photo_reference': 'ATtYBwJZrc_GgXJnU6WNSxd3we8aWQsq7t8nbEJWvLIx5Sv3hAfy2VYeF_mnSg6WPtwqnuukPPQVOQOvhb290KZ_08z54an1SZ0tDIrgJfbi-A0f4MrliJbYuG40WwtvtQnOHiuD5dDlnBtaNMu9dudiaClHtP5L3ZGY5SL1ZbxJDNUFmIgA', 'width': 1920}]",
OPERATIONAL,"Azkue Kalea, 1, 48902 Barakaldo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,IBIL Charging Station,ChIJm8ytYZ1QTg0RGhsvTD2cgr0,0.0,ChIJm8ytYZ1QTg0RGhsvTD2cgr0,"['point_of_interest', 'establishment']",0,43.290412,-2.988979,43.2929566,-2.9875076,43.2827782,-2.993393199999999,True,72R6+5C Baracaldo,8CMV72R6+5C,,
OPERATIONAL,"Abandoibarra Etorb., 4, 48001 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJOSxbZCRQTg0R-DNXp4nMLrk,0.0,ChIJOSxbZCRQTg0R-DNXp4nMLrk,"['point_of_interest', 'establishment']",0,43.266743,-2.94465,43.26787032989273,-2.943398970107278,43.26517067010729,-2.946098629892723,True,7384+M4 Bilbao,8CMV7384+M4,,
OPERATIONAL,"Etxaniz Suhiltzailearen Plaza, 48010 Bilbo, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Electrolinera. Estacion de carga eléctrica coche,ChIJnzSQRJpRTg0RlmAkjLr4--c,1.0,ChIJnzSQRJpRTg0RlmAkjLr4--c,"['point_of_interest', 'establishment']",1,43.25862070000001,-2.940371,43.25996267989272,-2.938979320107278,43.25726302010728,-2.941678979892723,,7355+CV Bilbao,8CMV7355+CV,"[{'height': 5376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103398732677516176964"">JoxeJ R</a>'], 'photo_reference': 'ATtYBwI3Ij6xzOtMJEkrVHQ_qyqWj7cdpCsFtcMb39cdWoXaqt9h8WXdCLfe2Qb1nrHBThXvHSwqKtk6iU9XYMGhDEDiLPWLHaHD2njA_-0q5_DJwecesK_67g13KImVJnwSc4zVjTHnxi85qcBd7RinMJ59pBePyFRsr_NlOeYO38ZQqpEM', 'width': 3024}]",
OPERATIONAL,"Iturriondo Kalea, 8, 48940 Leioa, Bizkaia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga eléctrica coches y motos,ChIJR5KVxUVaTg0Rf4ZB-DxsmMk,5.0,ChIJR5KVxUVaTg0Rf4ZB-DxsmMk,"['point_of_interest', 'establishment']",1,43.3176862,-2.9917118,43.31916182989272,-2.990213420107278,43.31646217010727,-2.992913079892722,True,8295+38 Lejona,8CMV8295+38,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107050221239390707588"">Jagoba Goikoetxea</a>'], 'photo_reference': 'ATtYBwLsBFsowtnIWJngYPOtig0kcVW-ID1Ox7WzWqHr5f61n2qzynMTE0AJ-fqjvDMx2ur7wGcqis80Pk84NWSiFvW0snTCYRhX8Aaqtr6tTUCI4fqrYVNzTdRF9mWLNbeyad6vGN3V3QZkYM4qzEDk_kceWED_zSZJxJmqLmRewDX89mkR', 'width': 1280}]",
